Time (seconds),Best Metric
0.0008826255798339844,104546.0
0.0012085437774658203,102970.0
0.00173187255859375,101410.0
0.0026552677154541016,99866.0
0.004426479339599609,98338.0
0.007740974426269531,96826.0
0.014304399490356445,95330.0
0.02730703353881836,93850.0
0.05247855186462402,92386.0
0.10279560089111328,90938.0
0.2030353546142578,89506.0
0.40261316299438477,88090.0
0.8007941246032715,86690.0
1.5989434719085693,85306.0
3.1953558921813965,83938.0
6.405982732772827,82586.0
12.826253414154053,81250.0
25.659614324569702,79930.0
51.333690881729126,78626.0
102.93992948532104,77338.0
