Time (seconds),Best Metric
0.0028340816497802734,390.0
0.014003276824951172,367.0
0.02501368522644043,357.0
0.07788252830505371,293.0
0.07815051078796387,237.0
0.12190556526184082,196.0
0.12217187881469727,165.0
0.16687655448913574,149.0
0.16714119911193848,141.0
0.2353353500366211,141.0
0.23559236526489258,141.0
0.23584723472595215,141.0
0.23610353469848633,141.0
0.247664213180542,141.0
0.2591257095336914,141.0
0.2704122066497803,141.0
0.2815220355987549,141.0
0.29292726516723633,141.0
0.31418728828430176,141.0
0.31444501876831055,141.0
0.3361048698425293,141.0
0.4148120880126953,141.0
0.4258570671081543,133.0
0.43703508377075195,132.0
0.47032833099365234,131.0
0.48176121711730957,130.0
0.5155413150787354,128.0
0.5283956527709961,126.0
0.5619497299194336,125.0
0.5749466419219971,124.0
0.6104166507720947,122.0
0.621687650680542,122.0
0.621943473815918,122.0
0.6222002506256104,122.0
0.6224539279937744,122.0
0.7065107822418213,122.0
0.7371506690979004,122.0
0.7681734561920166,122.0
0.7995526790618896,122.0
0.8311223983764648,122.0
0.8627450466156006,122.0
0.894514799118042,122.0
0.9475548267364502,122.0
0.947812557220459,122.0
0.9909100532531738,122.0
0.9911668300628662,122.0
1.0754573345184326,122.0
1.075714111328125,122.0
1.0938036441802979,122.0
1.1239745616912842,122.0
1.1544134616851807,122.0
1.1849660873413086,122.0
1.2156126499176025,122.0
1.246375322341919,122.0
1.2773172855377197,122.0
1.308323860168457,122.0
1.3394532203674316,122.0
1.3504269123077393,122.0
1.3506793975830078,122.0
1.3509318828582764,122.0
1.3511826992034912,122.0
1.353654384613037,122.0
1.3586304187774658,122.0
1.3796679973602295,120.0
1.474870204925537,120.0
1.4751272201538086,120.0
1.4946651458740234,120.0
1.5261218547821045,120.0
1.5579192638397217,120.0
1.5899434089660645,120.0
1.6221678256988525,120.0
1.6545963287353516,120.0
1.66550874710083,120.0
1.6982014179229736,120.0
1.7101035118103027,120.0
1.7215240001678467,120.0
1.7217795848846436,120.0
1.7220344543457031,120.0
1.7222874164581299,120.0
1.722541093826294,120.0
1.7227940559387207,120.0
1.7230474948883057,120.0
1.7345585823059082,120.0
1.7669942378997803,120.0
1.7784101963043213,120.0
1.8114194869995117,120.0
1.8237338066101074,120.0
1.8567986488342285,120.0
1.8681321144104004,120.0
1.8791766166687012,120.0
1.890099287033081,120.0
1.9429137706756592,120.0
1.9431731700897217,120.0
1.9868488311767578,120.0
1.9871082305908203,120.0
2.0545573234558105,120.0
2.1427950859069824,120.0
2.1541554927825928,120.0
2.1653671264648438,120.0
2.1764206886291504,120.0
2.1873016357421875,120.0
2.1980509757995605,120.0
2.2086613178253174,120.0
2.2191317081451416,120.0
2.2394752502441406,120.0
2.239729166030884,120.0
2.2603394985198975,120.0
2.2605996131896973,120.0
2.282439947128296,120.0
2.37904691696167,120.0
2.379302740097046,120.0
2.3994405269622803,120.0
2.431252956390381,120.0
2.463519334793091,120.0
2.4958248138427734,120.0
2.549450159072876,120.0
2.549708843231201,120.0
2.616623878479004,120.0
2.6168782711029053,120.0
2.617130756378174,120.0
2.617382764816284,120.0
2.6176350116729736,120.0
2.6178858280181885,120.0
2.618138074874878,120.0
2.619182825088501,120.0
2.619434118270874,120.0
2.6304452419281006,120.0
2.641281843185425,120.0
2.6522741317749023,120.0
2.686107873916626,120.0
2.6969833374023438,120.0
2.71901273727417,120.0
2.7301669120788574,120.0
2.7517783641815186,120.0
2.8510701656341553,120.0
2.8833255767822266,120.0
2.8953301906585693,120.0
2.9274837970733643,120.0
2.9398038387298584,120.0
2.9719021320343018,120.0
2.9846434593200684,120.0
3.017307996749878,120.0
3.03170108795166,120.0
3.0643882751464844,120.0
3.0758559703826904,120.0
3.086351156234741,120.0
3.117217540740967,120.0
3.127539873123169,120.0
3.158653974533081,120.0
3.1690292358398438,120.0
3.2000784873962402,120.0
3.2117342948913574,120.0
3.2438623905181885,120.0
3.256333589553833,120.0
3.2672131061553955,120.0
3.320565700531006,120.0
3.3208236694335938,120.0
3.4066762924194336,120.0
3.4369454383850098,120.0
3.467527389526367,120.0
3.50049090385437,120.0
3.5140295028686523,120.0
3.5466229915618896,120.0
3.558203935623169,120.0
3.5903284549713135,120.0
3.6018826961517334,120.0
3.634686231613159,120.0
